H030-1-8297-03,컴퓨팅사고,교필,임재한,월,5 ,수,6 
H040-1-8297-01,컴퓨팅사고,교필,김정재,화,1 ,목,2 
H040-1-8297-02,컴퓨팅사고,교필,김정재,화,2 ,목,1 
H040-1-8297-03,컴퓨팅사고,교필,김정재,화,3 ,목,4 
1000-1-8610-01,프로그래밍기초,교필,최강임,화,5 ,목,6 
1000-1-8610-02,프로그래밍기초,교필,이슬기,금,"1,2",,
1000-1-8610-03,프로그래밍기초,교필,이우석,금,"3,4",,
1000-1-8610-04,프로그래밍기초,교필,김대영,금,"3,4",,
1000-1-8610-05,프로그래밍기초,교필,한진섭,금,"5,6",,
6000-1-8610-01,프로그래밍기초,교필,현혜정,월,3 ,수,4 
6000-1-8610-02,프로그래밍기초,교필,한진섭,월,2 ,수,1 
6000-1-8610-03,프로그래밍기초,교필,김정재,월,1 ,수,2 
6000-1-8610-04,프로그래밍기초,교필,이종용,월,4 ,수,3 
6000-1-8610-05,프로그래밍기초,교필,유지우,월,5 ,수,6 
6000-1-8610-06,프로그래밍기초,교필,원일석,수,"7,8,9",,
3000-1-8610-01,프로그래밍기초,교필,손광철,화,1 ,목,2 
3000-1-8610-02,프로그래밍기초,교필,손광철,화,2 ,목,1 
3000-1-8610-03,프로그래밍기초,교필,한현호,화,3 ,목,4 
3000-1-8610-04,프로그래밍기초,교필,김창형,화,4 ,목,3 
3000-1-8610-05,프로그래밍기초,교필,김창형,화,5 ,목,6 
3000-1-8610-06,프로그래밍기초,교필,한현호,화,6 ,목,5 
3000-1-8610-07,프로그래밍기초,교필,문석재,금,"1,2",,
F000-1-8610-01,프로그래밍기초,교필,엄영현,금,"3,4",금,"3,4"
F000-1-8610-02,프로그래밍기초,교필,황치곤,금,"5,6",금,"5,6"
F000-1-8610-03,프로그래밍기초,교필,김보남,월,1 ,수,2 
F000-1-8610-04,프로그래밍기초,교필,김보남,월,2 ,수,1 
F000-1-8610-05,프로그래밍기초,교필,정미아,월,3 ,수,4 
